City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Kavieng,PG,-2.5744,150.7967,81.72,74,100,15.17,overcast clouds
161,Hermanus,ZA,-34.4187,19.2345,58.8,85,100,9.55,overcast clouds
162,Elko,US,41.0002,-115.5012,76.05,19,52,17.0,broken clouds
163,Mareeba,AU,-17.0,145.4333,65.12,98,9,2.08,clear sky
164,Northam,GB,51.0333,-4.2167,52.25,77,74,2.53,broken clouds
165,Padang,ID,-0.9492,100.3543,76.69,85,100,4.63,overcast clouds
166,Biak,ID,-0.9131,122.8766,75.4,87,28,0.65,very heavy rain
167,Morondava,MG,-20.2833,44.2833,75.61,82,2,10.2,clear sky
168,Pisco,PE,-13.7,-76.2167,64.45,72,4,10.36,haze
169,Lavrentiya,RU,65.5833,-171.0,36.73,71,95,13.73,overcast clouds
170,Flinders,AU,-34.5833,150.8552,57.18,87,75,5.99,light rain
171,Kiruna,SE,67.8557,20.2251,38.32,81,75,4.61,broken clouds
172,Manavalakurichi,IN,8.1333,77.3,78.19,87,100,11.59,overcast clouds
173,Homer,US,59.6425,-151.5483,51.67,91,100,5.01,overcast clouds
174,Southampton,GB,50.904,-1.4043,53.85,85,0,1.01,clear sky
175,Inhambane,MZ,-23.865,35.3833,71.58,88,20,5.01,few clouds
176,Beisfjord,NO,68.3751,17.5988,51.85,83,18,7.58,few clouds
177,Pokhara,NP,28.2333,83.9833,66.97,85,75,4.7,broken clouds
178,Tasiilaq,GL,65.6145,-37.6368,33.71,86,100,6.96,overcast clouds
179,Ribeira Grande,PT,38.5167,-28.7,68.4,64,40,9.22,scattered clouds
180,Atuona,PF,-9.8,-139.0333,76.62,66,42,18.66,scattered clouds
181,Hyeres,FR,43.1167,6.1167,65.66,61,0,13.8,clear sky
182,Lander,US,42.833,-108.7307,82.11,27,0,10.36,clear sky
183,Lukovetskiy,RU,64.2956,41.9211,34.18,92,100,9.4,overcast clouds
184,Bethel,US,41.3712,-73.414,66.56,61,0,8.05,clear sky
185,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,90,100,15.41,overcast clouds
186,Ancud,CL,-41.8697,-73.8203,52.9,77,100,6.67,overcast clouds
187,Namatanai,PG,-3.6667,152.4333,77.86,74,93,9.22,overcast clouds
188,Xai-Xai,MZ,-25.0519,33.6442,70.27,83,0,9.13,clear sky
189,Alta,NO,69.9689,23.2717,42.06,70,0,10.36,clear sky
190,Bubaque,GW,11.2833,-15.8333,80.46,76,100,6.35,light rain
191,Metro,ID,-5.1131,105.3067,74.55,90,80,4.05,broken clouds
192,Sungaipenuh,ID,-2.0833,101.3833,63.77,93,100,2.8,overcast clouds
193,Ahuimanu,US,21.4447,-157.8378,83.86,61,63,11.23,broken clouds
194,Lasa,IT,46.6166,10.7002,50.88,96,100,4.09,overcast clouds
195,Chandler,US,33.3062,-111.8412,98.74,20,100,3.0,overcast clouds
196,Vanimo,PG,-2.6741,141.3028,76.14,90,100,5.35,overcast clouds
197,Iskateley,RU,67.6803,53.1512,27.84,79,11,8.5,few clouds
